fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
4972,"UFC Fight Night: Dos Anjos vs. Lee","Charles Oliveira","Nik Lentz",Lightweight,KO/TKO,Punch,2,2:11,5782666ca117fa5b,16501,4972,487,1,"Charles Oliveira",0,28,43,0,0,0,3,1,1:30,16501,4972,487,1,"Charles Oliveira",15,25,7,12,2,2,14,24,7,12,3,3,487,"UFC Fight Night: Dos Anjos vs. Lee",2019-05-18,"Rochester, New York, USA","8,132",6b8f28da9a483049
4972,"UFC Fight Night: Dos Anjos vs. Lee","Charles Oliveira","Nik Lentz",Lightweight,KO/TKO,Punch,2,2:11,5782666ca117fa5b,16502,4972,487,1,"Nik Lentz",0,13,39,1,2,0,0,0,0:16,16502,4972,487,1,"Nik Lentz",7,30,2,4,3,4,10,35,2,3,0,0,487,"UFC Fight Night: Dos Anjos vs. Lee",2019-05-18,"Rochester, New York, USA","8,132",6b8f28da9a483049
4972,"UFC Fight Night: Dos Anjos vs. Lee","Charles Oliveira","Nik Lentz",Lightweight,KO/TKO,Punch,2,2:11,5782666ca117fa5b,16503,4972,487,2,"Charles Oliveira",1,15,21,0,0,1,0,0,0:07,16503,4972,487,2,"Charles Oliveira",8,13,6,7,0,0,6,10,3,5,5,5,487,"UFC Fight Night: Dos Anjos vs. Lee",2019-05-18,"Rochester, New York, USA","8,132",6b8f28da9a483049
4972,"UFC Fight Night: Dos Anjos vs. Lee","Charles Oliveira","Nik Lentz",Lightweight,KO/TKO,Punch,2,2:11,5782666ca117fa5b,16504,4972,487,2,"Nik Lentz",0,8,14,1,2,0,1,0,1:24,16504,4972,487,2,"Nik Lentz",3,6,3,5,0,0,0,4,4,5,2,2,487,"UFC Fight Night: Dos Anjos vs. Lee",2019-05-18,"Rochester, New York, USA","8,132",6b8f28da9a483049
6679,"UFC 124: St-Pierre vs Koscheck 2","Jim Miller","Charles Oliveira",Lightweight,SUB,Kneebar,1,1:59,77785292d4df807c,27191,6679,680,1,"Jim Miller",0,6,11,1,1,2,0,0,1:31,27191,6679,680,1,"Jim Miller",1,6,0,0,0,0,0,4,0,0,1,2,680,"UFC 124: St-Pierre vs Koscheck 2",2010-12-11,"Montreal, Quebec, Canada","23,152",132f860d02953f4c
6679,"UFC 124: St-Pierre vs Koscheck 2","Jim Miller","Charles Oliveira",Lightweight,SUB,Kneebar,1,1:59,77785292d4df807c,27192,6679,680,1,"Charles Oliveira",0,8,12,0,1,0,0,0,0:00,27192,6679,680,1,"Charles Oliveira",2,5,2,2,1,1,3,5,0,1,2,2,680,"UFC 124: St-Pierre vs Koscheck 2",2010-12-11,"Montreal, Quebec, Canada","23,152",132f860d02953f4c
6424,"UFC Fight Night: Marquardt vs Palhares","Charles Oliveira","Efrain Escudero",Lightweight,SUB,"Rear Naked Choke",3,2:25,a24121c70f773fe2,27229,6424,642,1,"Efrain Escudero",0,20,36,0,0,0,1,0,1:46,27229,6424,642,1,"Efrain Escudero",7,21,0,0,1,3,3,15,3,5,2,4,642,"UFC Fight Night: Marquardt vs Palhares",2010-09-15,"Austin, Texas, USA","7,724",acff437707625fc7
6424,"UFC Fight Night: Marquardt vs Palhares","Charles Oliveira","Efrain Escudero",Lightweight,SUB,"Rear Naked Choke",3,2:25,a24121c70f773fe2,27230,6424,642,1,"Charles Oliveira",0,27,52,0,5,0,0,0,0:21,27230,6424,642,1,"Charles Oliveira",3,22,1,3,6,9,9,33,1,1,0,0,642,"UFC Fight Night: Marquardt vs Palhares",2010-09-15,"Austin, Texas, USA","7,724",acff437707625fc7
6424,"UFC Fight Night: Marquardt vs Palhares","Charles Oliveira","Efrain Escudero",Lightweight,SUB,"Rear Naked Choke",3,2:25,a24121c70f773fe2,27231,6424,642,2,"Efrain Escudero",0,2,30,0,1,0,1,0,0:41,27231,6424,642,2,"Efrain Escudero",1,28,0,0,0,1,1,28,0,1,0,0,642,"UFC Fight Night: Marquardt vs Palhares",2010-09-15,"Austin, Texas, USA","7,724",acff437707625fc7
6424,"UFC Fight Night: Marquardt vs Palhares","Charles Oliveira","Efrain Escudero",Lightweight,SUB,"Rear Naked Choke",3,2:25,a24121c70f773fe2,27232,6424,642,2,"Charles Oliveira",0,21,45,1,3,0,0,0,0:14,27232,6424,642,2,"Charles Oliveira",3,21,5,8,8,10,14,36,2,3,0,0,642,"UFC Fight Night: Marquardt vs Palhares",2010-09-15,"Austin, Texas, USA","7,724",acff437707625fc7
