fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
6366,"UFC Fight Night: Condit vs Alves","Charles Oliveira","Nik Lentz",Featherweight,SUB,"Guillotine Choke",3,1:10,ff64fc34065565d0,28006,6366,637,1,"Charles Oliveira",1,52,68,1,2,0,2,0,1:26,28006,6366,637,1,"Charles Oliveira",26,40,19,20,0,0,8,12,16,19,21,29,637,"UFC Fight Night: Condit vs Alves",2015-05-30,"Goiania, Goias, Brazil","3,500",aae0897825336b1a
6366,"UFC Fight Night: Condit vs Alves","Charles Oliveira","Nik Lentz",Featherweight,SUB,"Guillotine Choke",3,1:10,ff64fc34065565d0,28007,6366,637,2,"Nik Lentz",0,23,35,2,3,1,5,0,4:05,28007,6366,637,2,"Nik Lentz",7,14,1,1,1,2,3,9,1,2,5,6,637,"UFC Fight Night: Condit vs Alves",2015-05-30,"Goiania, Goias, Brazil","3,500",aae0897825336b1a
6366,"UFC Fight Night: Condit vs Alves","Charles Oliveira","Nik Lentz",Featherweight,SUB,"Guillotine Choke",3,1:10,ff64fc34065565d0,28008,6366,637,2,"Charles Oliveira",0,25,27,0,0,1,0,0,0:16,28008,6366,637,2,"Charles Oliveira",8,9,3,4,1,1,2,2,3,4,7,8,637,"UFC Fight Night: Condit vs Alves",2015-05-30,"Goiania, Goias, Brazil","3,500",aae0897825336b1a
6366,"UFC Fight Night: Condit vs Alves","Charles Oliveira","Nik Lentz",Featherweight,SUB,"Guillotine Choke",3,1:10,ff64fc34065565d0,28009,6366,637,3,"Nik Lentz",0,1,7,0,1,0,0,0,0:19,28009,6366,637,3,"Nik Lentz",0,5,1,2,0,0,1,6,0,1,0,0,637,"UFC Fight Night: Condit vs Alves",2015-05-30,"Goiania, Goias, Brazil","3,500",aae0897825336b1a
6366,"UFC Fight Night: Condit vs Alves","Charles Oliveira","Nik Lentz",Featherweight,SUB,"Guillotine Choke",3,1:10,ff64fc34065565d0,28010,6366,637,3,"Charles Oliveira",0,7,10,0,0,1,0,0,0:15,28010,6366,637,3,"Charles Oliveira",2,2,3,4,2,4,3,6,4,4,0,0,637,"UFC Fight Night: Condit vs Alves",2015-05-30,"Goiania, Goias, Brazil","3,500",aae0897825336b1a
7156,"The Ultimate Fighter: Live Finale","Charles Oliveira","Jonathan Brookins",Featherweight,SUB,"Guillotine Choke",2,2:42,0b5c7c95b0316276,28937,7156,750,1,"Jonathan Brookins",0,19,43,1,1,0,0,0,0:53,28937,7156,750,1,"Jonathan Brookins",15,36,4,6,0,1,14,33,5,10,0,0,750,"The Ultimate Fighter: Live Finale",2012-06-01,"Las Vegas, Nevada, USA","1,628",96087e90d900f0ef
7156,"The Ultimate Fighter: Live Finale","Charles Oliveira","Jonathan Brookins",Featherweight,SUB,"Guillotine Choke",2,2:42,0b5c7c95b0316276,28938,7156,750,1,"Charles Oliveira",0,33,61,0,0,0,0,0,0:01,28938,7156,750,1,"Charles Oliveira",16,41,7,10,10,10,25,51,7,7,1,3,750,"The Ultimate Fighter: Live Finale",2012-06-01,"Las Vegas, Nevada, USA","1,628",96087e90d900f0ef
7156,"The Ultimate Fighter: Live Finale","Charles Oliveira","Jonathan Brookins",Featherweight,SUB,"Guillotine Choke",2,2:42,0b5c7c95b0316276,28939,7156,750,2,"Jonathan Brookins",0,8,31,0,1,1,0,0,0:14,28939,7156,750,2,"Jonathan Brookins",7,27,0,3,1,1,8,31,0,0,0,0,750,"The Ultimate Fighter: Live Finale",2012-06-01,"Las Vegas, Nevada, USA","1,628",96087e90d900f0ef
7156,"The Ultimate Fighter: Live Finale","Charles Oliveira","Jonathan Brookins",Featherweight,SUB,"Guillotine Choke",2,2:42,0b5c7c95b0316276,28940,7156,750,2,"Charles Oliveira",0,15,21,1,2,1,0,0,0:58,28940,7156,750,2,"Charles Oliveira",5,11,3,3,1,1,7,12,1,2,1,1,750,"The Ultimate Fighter: Live Finale",2012-06-01,"Las Vegas, Nevada, USA","1,628",96087e90d900f0ef
7434,"UFC Fight Night: Machida vs Mousasi","Charles Oliveira","Andy Ogle",Featherweight,SUB,"Triangle Choke",3,2:40,b96e1222eb1a0faf,28979,7434,808,1,"Charles Oliveira",0,28,36,1,1,0,2,0,4:40,28979,7434,808,1,"Charles Oliveira",5,10,4,5,0,0,1,5,3,4,5,6,808,"UFC Fight Night: Machida vs Mousasi",2014-02-15,"Jaragua do Sul, Santa Cat","7,511",51b0bb73a1da34bc
7434,"UFC Fight Night: Machida vs Mousasi","Charles Oliveira","Andy Ogle",Featherweight,SUB,"Triangle Choke",3,2:40,b96e1222eb1a0faf,28980,7434,808,1,"Andy Ogle",0,6,13,0,0,0,0,0,0:00,28980,7434,808,1,"Andy Ogle",4,10,0,1,0,0,3,9,1,2,0,0,808,"UFC Fight Night: Machida vs Mousasi",2014-02-15,"Jaragua do Sul, Santa Cat","7,511",51b0bb73a1da34bc
7434,"UFC Fight Night: Machida vs Mousasi","Charles Oliveira","Andy Ogle",Featherweight,SUB,"Triangle Choke",3,2:40,b96e1222eb1a0faf,28981,7434,808,2,"Charles Oliveira",0,15,20,2,5,1,1,0,1:25,28981,7434,808,2,"Charles Oliveira",2,7,6,6,1,1,2,6,6,7,1,1,808,"UFC Fight Night: Machida vs Mousasi",2014-02-15,"Jaragua do Sul, Santa Cat","7,511",51b0bb73a1da34bc
7434,"UFC Fight Night: Machida vs Mousasi","Charles Oliveira","Andy Ogle",Featherweight,SUB,"Triangle Choke",3,2:40,b96e1222eb1a0faf,28982,7434,808,2,"Andy Ogle",0,18,26,1,1,0,0,0,2:48,28982,7434,808,2,"Andy Ogle",6,14,3,3,0,0,6,13,1,1,2,3,808,"UFC Fight Night: Machida vs Mousasi",2014-02-15,"Jaragua do Sul, Santa Cat","7,511",51b0bb73a1da34bc
7434,"UFC Fight Night: Machida vs Mousasi","Charles Oliveira","Andy Ogle",Featherweight,SUB,"Triangle Choke",3,2:40,b96e1222eb1a0faf,28983,7434,808,3,"Charles Oliveira",0,14,23,0,2,1,0,0,0:04,28983,7434,808,3,"Charles Oliveira",2,11,2,2,1,1,4,9,0,4,1,1,808,"UFC Fight Night: Machida vs Mousasi",2014-02-15,"Jaragua do Sul, Santa Cat","7,511",51b0bb73a1da34bc
7434,"UFC Fight Night: Machida vs Mousasi","Charles Oliveira","Andy Ogle",Featherweight,SUB,"Triangle Choke",3,2:40,b96e1222eb1a0faf,28984,7434,808,3,"Andy Ogle",0,10,23,0,1,0,0,0,1:41,28984,7434,808,3,"Andy Ogle",6,18,1,2,1,1,3,12,3,5,2,4,808,"UFC Fight Night: Machida vs Mousasi",2014-02-15,"Jaragua do Sul, Santa Cat","7,511",51b0bb73a1da34bc
